 index   name  length   s     betx   alfx   phixetax   etaxp  betz   alfz   phiz   etaz   etazp    x      xp     z      zp
  52     HCOR   0.00   5.69   9.31   5.23   1.05 -8607.71 4706.69  -1.73   1.50  -0.24 -158.71 -65.48  -0.01   0.00  -0.00  -0.00
  53     VCOR   0.00   5.69   9.31   5.23   1.05 -8607.70 17275.46  -1.73   1.50  -0.24 -158.71 -65.48  -0.01   0.02  -0.00  -0.00
  54    SD1S1   0.19   5.69   9.31   5.23   1.05 -8607.68 17275.46  -1.73   1.50  -0.24 -158.71 -65.48  -0.01   0.02  -0.00  -0.00
  55     BPMx   0.00   5.88   7.43   4.65   1.06 -5325.35 17275.46  -2.37   1.86  -0.25 -171.15 -65.48  -0.01   0.02  -0.00  -0.00
  56     BPMz   0.00   5.88   7.43   4.65   1.06 -5325.35 17275.46  -2.37   1.86  -0.25 -171.15 -65.48  -0.01   0.02  -0.00  -0.00
  57   SD1S1B   0.06   5.88   7.43   4.65   1.06 -5325.35 17275.46  -2.37   1.86  -0.25 -171.15 -65.48  -0.01   0.02  -0.00  -0.00
  58     QP41   0.15   5.94   6.88   4.47   1.06 -4288.82 17275.46  -2.60   1.97  -0.26 -175.08 -65.48  -0.00   0.02  -0.00  -0.00
  59    SD3S1   0.14   6.09   4.52  10.24   1.06 -1371.10 20996.49  -3.85   6.91  -0.27 -202.49 -305.81  -0.00   0.02  -0.00  -0.00
  60      SX3   0.00   6.23   2.18   7.08   1.07  1463.42 20996.49  -5.94   8.62  -0.27 -243.77 -305.81   0.00   0.02  -0.00  -0.00
  61     HCOR   0.00   6.23   2.18   7.06   1.07  1463.44 21002.97  -5.94   8.57  -0.27 -243.77 -303.59   0.00   0.02  -0.00  -0.00
  62     VCOR   0.00   6.23   2.18   7.06   1.07  1463.45 -4871.08  -5.94   8.57  -0.27 -243.77 -303.59   0.00  -0.00  -0.00  -0.00
  63     SD3S   0.07   6.23   2.18   7.06   1.07  1463.45 -4871.08  -5.94   8.57  -0.27 -243.78 -303.59   0.00  -0.00  -0.00  -0.00
  64     QP31   0.15   6.30   1.26   5.31   1.08  1098.12 -4871.08  -7.30   9.51  -0.27 -266.54 -303.59   0.00  -0.00  -0.00  -0.00
  65     SD3S   0.07   6.45   0.30   1.60   1.12  486.30 -3470.04  -8.11  -4.58  -0.28 -274.71  197.16   0.00  -0.00  -0.00   0.00
  66      SX1   0.00   6.53   0.13   0.72   1.18  226.05 -3470.04  -7.44  -4.38  -0.28 -259.92  197.16   0.00  -0.00  -0.00   0.00
  67     HCOR   0.00   6.53   0.13   0.72   1.18  226.04 -3470.15  -7.44  -4.40  -0.28 -259.92  197.89   0.00  -0.00  -0.00   0.00
  68     VCOR   0.00   6.53   0.13   0.72   1.18  226.05 13342.73  -7.44  -4.40  -0.28 -259.92  197.89   0.00   0.01  -0.00   0.00
  69    SD3S2   0.12   6.53   0.13   0.72   1.18  226.06 13342.73  -7.44  -4.40  -0.28 -259.92  197.89   0.00   0.01  -0.00   0.00
  70     BEND   0.28   6.65   0.13  -0.76   1.38  1893.90 13342.73  -6.38  -4.06  -0.28 -235.19  197.89   0.00   0.01  -0.00   0.00
  71     SD31   0.75   6.93   1.06  -1.89   1.50  4660.32 5630.93  -4.68  -2.29  -0.29 -187.79  150.35   0.00   0.01  -0.00   0.00
  72      QP2   0.15   7.68   6.34  -5.12   1.54  8904.63 5630.93  -1.99  -1.28  -0.33 -74.46  150.35   0.01   0.01  -0.00   0.00
  73      SD2   0.21   7.83   6.53   3.95   1.55  8796.01 -7053.87  -2.02   1.53  -0.34 -56.32  95.72   0.01  -0.01  -0.00   0.00
  74      QP1   0.15   8.04   4.98   3.42   1.55  7314.70 -7053.87  -2.74   1.88  -0.35 -36.22  95.72   0.01  -0.01  -0.00   0.00
  75      SD5   0.06   8.19   4.47   0.11   1.56  6615.91 -2342.43  -3.03   0.01  -0.36 -18.75  135.23   0.01  -0.00  -0.00   0.00
  76     BPMx   0.00   8.25   4.46   0.10   1.56  6475.36 -2342.43  -3.03   0.02  -0.37 -10.64  135.23   0.01  -0.00  -0.00   0.00
  77     BPMz   0.00   8.25   4.46   0.10   1.56  6475.36 -2342.43  -3.03   0.02  -0.37 -10.64  135.23   0.01  -0.00  -0.00   0.00
  78     SD5B   0.74   8.25   4.46   0.10   1.56  6475.36 -2342.43  -3.03   0.02  -0.37 -10.64  135.23   0.01  -0.00  -0.00   0.00
  79     SEPT   0.00   8.99   4.44  -0.07   1.59  4741.96 -2342.43  -3.25   0.27  -0.40  89.43  135.23   0.00  -0.00   0.00   0.00
  80     SD5B   0.74   8.99   4.44  -0.07   1.59  4741.96 -2342.43  -3.25   0.27  -0.40  89.43  135.23   0.00  -0.00   0.00   0.00
  81     BPMx   0.00   9.73   4.67  -0.24   1.61  3008.57 -2342.43  -3.83   0.51  -0.44  189.50  135.23   0.00  -0.00   0.00   0.00
  82     BPMz   0.00   9.73   4.67  -0.24   1.61  3008.57 -2342.43  -3.83   0.51  -0.44  189.50  135.23   0.00  -0.00   0.00   0.00
  83      SD5   0.06   9.73   4.67  -0.24   1.61  3008.57 -2342.43  -3.83   0.51  -0.44  189.50  135.23   0.00  -0.00   0.00   0.00
